,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Category,Air Date,Question,Value,Answer,Round,Show Number
0,0,0,0,0,0,0,"CZECH, PLEASE",1988-01-11,"'For poetry that eschews all ""dogmas & dictates"", Jaroslav Seifert won this in 1984'",$600,the Nobel Prize (for Literature),Double Jeopardy!,776
1,1,1,1,1,1,1,TBA,1999-01-06,'White smoke rising from the Vatican announces the election of a new one of these',$100,Pope,Jeopardy!,3303
2,2,2,2,2,2,2,THE HIGHEST-SCORING SCRABBLE WORD,2006-10-19,"'Happy,<br />snappy<br />or pappy'",$600,happy,Jeopardy!,5084
3,3,3,3,3,3,3,FAMOUS NAMES,2004-02-24,"'A grandson of Man O' War, he defeated his uncle in a famous matchup November 1, 1938'",$0,Seabiscuit,Final Jeopardy!,4487
4,4,4,4,4,4,4,PIZZA TOPPINGS,2006-02-13,"'Wild ones of these found on pizza include shiitakes, morels & chanterelles'",$1000,mushrooms,Jeopardy!,4936
5,5,5,5,5,5,5,AUTHORS,1990-04-10,"'This author's home where he wrote ""To Have And Have Not"" is now a nat'l landmark in Key West, Fla.'",$400,Ernest Hemingway,Double Jeopardy!,1302
6,6,6,6,6,6,6,WORD ORIGINS,1999-03-24,"'Today meaning a self-employed person, this term derives from medieval knights who sold their skills'",$0,Freelancer,Final Jeopardy!,3358
7,7,7,7,7,7,7,"THE ""UNDER"" WORLD",2005-01-28,'It means to weaken support for something or to unearth too little ore',$1000,undermine,Jeopardy!,4700
8,8,8,8,8,8,8,"""PU""",1997-10-03,'Oscar De La Hoya or Evander Holyfield',$200,Pugilist,Jeopardy!,3010
9,9,9,9,9,9,9,OPERA SINGERS,1991-11-13,"'This Spaniard starred in Franco Zeffirelli's film ""La Traviata""'",$400,(Placido) Domingo,Double Jeopardy!,1658
10,10,10,10,10,10,10,KNIGHTS,1997-12-12,'In the 12th C. these French minstrels began composing songs about knights called chansons de geste',$1000,Troubadours,Double Jeopardy!,3060
11,11,11,11,11,11,11,"A SHAKESPEARE PLAY, FOR OPENERS",2012-01-19,"'This play opens most dramatically with thunder & lightning. A ship is seen. Then a cry of ""bos'n!""'",$1000,The Tempest,Jeopardy!,6294
12,12,12,12,12,12,12,INLETS,2012-01-19,"'This Chilean city whose name means ""valley of paradise"" lies on a wide inlet of the Pacific'",$800,Valparaiso,Jeopardy!,6294
13,13,13,13,13,13,13,PEOPLE IN HISTORY,2000-12-18,'This Chiricahua Apache was a popular attraction at the 1904 World's Fair in St. Louis',$800,Geronimo,Double Jeopardy!,3751
14,14,14,14,14,14,14,HORSE SENSE,2002-12-27,'Golden Cloud had great pull with Roy Rogers under this stage name',$400,Trigger,Double Jeopardy!,4220
